"Korean Name","English Name","Searched Eng Name","Functions"
"자주천인국추출물","Echinacea Purpurea Extract","ECHINACEA PURPUREA CALLUS CULTURE EXTRACT","ANTIOXIDANT | HAIR CONDITIONING | SKIN CONDITIONING | SKIN PROTECTING"
"잔탄검","Xanthan Gum","HYDROXYPROPYL XANTHAN GUM","EMULSION STABILISING | FILM FORMING | VISCOSITY CONTROLLING"
"장미꽃오일","Rose Flower Oil","ROSE FLOWER OIL","FRAGRANCE"
"장미꽃추출물","Rosa Hybrid Flower Extract","ROSA HYBRID FLOWER EXTRACT","SKIN CONDITIONING | TONIC"
"장미추출물","Rose Extract","ROSA EGLANTARIA FLOWER/LEAF/STEM EXTRACT","FRAGRANCE"
"접시꽃추출물","Althaea Rosea Flower Extract","ALTHAEA ROSEA FLOWER EXTRACT","SKIN CONDITIONING"
"정제수","Water,Aqua","WATER","ANTIPLAQUE | SKIN CONDITIONING | SOLVENT"
"제니스테인","Genistein","GENISTEIN GLUCOSIDE","ANTIOXIDANT | SKIN CONDITIONING"
"제라니올","Geraniol","GERANIOL","TONIC | PERFUMING"
"제비꽃꽃추출물","Viola Mandshurica Flower Extract","VIOLA MANDSHURICA FLOWER EXTRACT","ANTIOXIDANT | ASTRINGENT"
"제인","Zein","ZEIN","FILM FORMING | HAIR CONDITIONING | SKIN CONDITIONING"
"제주조릿대추출물","Sasa Quelpaertensis Extract","SASA QUELPAERTENSIS LEAF EXTRACT","HAIR CONDITIONING | HUMECTANT | SKIN PROTECTING | SKIN CONDITIONING - HUMECTANT"
"제주진득찰추출물","Sigesbeckia Orientalis Extract","SIGESBECKIA ORIENTALIS EXTRACT","SKIN CONDITIONING | TONIC"
"제충국꽃추출물","Tanacetum Cinerariifolium (Pyrethrum) Flower Extract","TANACETUM CINERARIIFOLIUM FLOWER EXTRACT","FRAGRANCE"
"조류추출물","Algae Extract","ALGAE EXTRACT","SKIN CONDITIONING - EMOLLIENT | HUMECTANT | FRAGRANCE | ORAL CARE | SKIN CONDITIONING - MISCELLANEOUS"
"조름나물잎추출물","Menyanthes Trifoliata Leaf Extract","MENYANTHES TRIFOLIATA LEAF EXTRACT","SKIN CONDITIONING"
"줄맨드라미씨추출물","Amaranthus Caudatus Seed Extract","AMARANTHUS CAUDATUS SEED EXTRACT","SKIN CONDITIONING"
"지모뿌리추출물","Anemarrhena Asphodeloides Root Extract","ANEMARRHENA ASPHODELOIDES ROOT EXTRACT","SKIN CONDITIONING"
"지치뿌리추출물","Lithospermum Erythrorhizon Root Extract","LITHOSPERMUM ERYTHRORHIZON ROOT EXTRACT","SKIN CONDITIONING"
"지황뿌리추출물","Rehmannia Chinensis Root Extract,Rehmannia Glutinosa Root Extract","(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON CHINENSE BARK EXTRACT",""
"진들딸기씨오일","Rubus Chamaemorus Seed Oil","RUBUS CHAMAEMORUS SEED OIL","SKIN CONDITIONING"
"진세노사이드","Ginsenosides","GINSENOSIDES","SKIN CONDITIONING"
"진주가루","Pearl Powder","PEARL POWDER","NOT REPORTED"
"진주추출물","Pearl Extract","MOTHER OF PEARL EXTRACT","SKIN CONDITIONING"
"진흙버섯추출물","Phellinus Linteus Extract","PHELLINUS LINTEUS EXTRACT","SKIN CONDITIONING"
"질경이추출물","Plantago Asiatica Extract","PLANTAGO ASIATICA SEED EXTRACT","SKIN CONDITIONING"
"징크글루코네이트","Zinc Gluconate","ZINC GLUCONATE","ANTIMICROBIAL | DEODORANT | ORAL CARE | SKIN CONDITIONING"
"징크리시놀리에이트","Zinc Ricinoleate","ZINC RICINOLEATE","ANTICAKING | DEODORANT | OPACIFYING"
"징크설페이트","Zinc Sulfate","SPHINGOMONAS/AMMONIUM SULFATE/CYANOCOBALAMIN/FERROUS SULFATE/ZINC SULFATE FERMENT EXTRACT","SKIN CONDITIONING - HUMECTANT | SKIN CONDITIONING - MISCELLANEOUS"
"징크스테아레이트","Zinc Stearate","ZINC STEARATE","ANTICAKING | COLORANT | VISCOSITY CONTROLLING | SLIP MODIFIER"
"징크옥사이드","Zinc Oxide,CI 77947","ZINC OXIDE","ANTIMICROBIAL | BULKING | COLORANT | ORAL CARE | SKIN PROTECTING | LIGHT STABILIZER | UV ABSORBER | UV FILTER"
"징크클로라이드","Zinc Chloride","ZINC TALC CHLORIDE HYDROXIDE","BULKING | DEODORANT"
"징크피씨에이","Zinc PCA","ZINC PCA","HUMECTANT | SKIN CONDITIONING"
"차가버섯추출물","Inonotus Obliquus (Mushroom) Extract","INONOTUS OBLIQUUS EXTRACT","SKIN CONDITIONING"
"참갈파래추출물","Ulva Lactuca Extract","ULVA LACTUCA EXTRACT","SKIN CONDITIONING | SKIN PROTECTING"
"참깨오일","Sesamum Indicum (Sesame) Seed Oil","SESAMUM INDICUM SEED OIL","SKIN CONDITIONING - EMOLLIENT | HAIR CONDITIONING | FRAGRANCE | SKIN CONDITIONING"
"참깨추출물","Sesamum Indicum (Sesame) Seed Extract","SESAMUM INDICUM SEED EXTRACT","HAIR CONDITIONING | SKIN CONDITIONING | SMOOTHING | SOOTHING"
"참나무이끼추출물","Evernia Prunastri (Oakmoss) Extract","EVERNIA PRUNASTRI EXTRACT","PERFUMING"
"참당귀뿌리추출물","Angelica Gigas Root Extract","ANGELICA GIGAS ROOT EXTRACT","HAIR CONDITIONING | HAIR WAVING OR STRAIGHTENING | SKIN CONDITIONING"
"참당귀추출물","Angelica Gigas Extract","ANGELICA GIGAS EXTRACT","SKIN CONDITIONING"
"참마뿌리추출물","Dioscorea Japonica Root Extract","DIOSCOREA JAPONICA ROOT EXTRACT","SKIN CONDITIONING"
"참미역추출물","Kjellmaniella Gyrata Extract","KJELLMANIELLA GYRATA EXTRACT","SKIN CONDITIONING"
"참산호말추출물","Corallina Officinalis Extract","CORALLINA OFFICINALIS THALLUS EXTRACT","SKIN CONDITIONING"
"창과감초뿌리추출물","Glycyrrhiza Inflata Root Extract","GLYCYRRHIZA INFLATA ROOT EXTRACT","SKIN CONDITIONING"
"창질경이잎추출물","Plantago Lanceolata Leaf Extract","PLANTAGO LANCEOLATA LEAF EXTRACT","ANTIMICROBIAL"
"창포뿌리추출물","Acorus Calamus Root Extract","ACORUS CALAMUS ROOT EXTRACT","SKIN CONDITIONING | PERFUMING"
"천궁뿌리추출물","Cnidium Officinale Root Extract","CNIDIUM OFFICINALE ROOT EXTRACT","SKIN CONDITIONING"
"천궁수","Cnidium Officinale Root Water","CNIDIUM OFFICINALE ROOT WATER","FRAGRANCE"
"천궁추출물","Cnidium Officinale Rhizome Extract","CNIDIUM OFFICINALE RHIZOME EXTRACT","SKIN CONDITIONING"
"청각추출물","Codium Fragile Extract","CODIUM FRAGILE EXTRACT","SKIN CONDITIONING"
"체이스트트리추출물","Vitex Agnus-Castus Extract","VITEX AGNUS-CASTUS EXTRACT","ASTRINGENT"
"초유","Colostrum","NONFAT DRY COLOSTRUM","HAIR CONDITIONING | SKIN CONDITIONING"
"초피나무열매오일","Zanthoxylum Piperitum Oil","ZANTHOXYLUM PIPERITUM SEED OIL","FRAGRANCE | PERFUMING | FLAVOURING"
"초피나무열매추출물","Zanthoxylum Piperitum Fruit Extract","ZANTHOXYLUM PIPERITUM BRANCH/LEAF EXTRACT","SKIN CONDITIONING"
"측백나무추출물","Thuja Orientalis Extract","THUJA ORIENTALIS EXTRACT","ANTIMICROBIAL | ASTRINGENT | SKIN CONDITIONING - EMOLLIENT | HUMECTANT | SKIN CONDITIONING"
"치자꽃추출물","Gardenia Florida Flower Extract","GARDENIA FLORIDA FLOWER EXTRACT","SKIN CONDITIONING"
"치자추출물","Gardenia Florida Fruit Extract,Gardenia Jasminoides Fruit Extract","ANGELICA ACUTILOBA ROOT/CITRUS AURANTIUM AMARA FRUIT/COPTIS JAPONICA ROOT/FORSYTHIA VIRIDISSIMA FRUIT/GARDENIA FLORIDA FRUIT/GLYCYRRHIZA GLABRA ROOT/MENTHA ARVENSIS LEAF /PAEONIA LACTIFLORA ROOT/PLATYCODON GRANDIFLORUS ROOT/REHMANNIA GLUTINOSA ROOT/SCUTELLARIA BAICALENSIS ROOT EXTRACT","HUMECTANT | SKIN CONDITIONING - MISCELLANEOUS"
