"category","rank","brand","name","price","ingredients"
"스킨/토너",21,"이즈앤트리","이즈앤트리 히아루론산 토너 더블","30,900","정제수,프로판다이올,1,2-헥산다이올,소듐하이알루로네이트,트레할로오스,소듐피씨에이,글리세린,하이알루로닉애씨드,알로에베라잎추출물,접시꽃뿌리추출물,만주자작나무수액,쇠비름추출물,하이드롤라이즈드소듐하이알루로네이트,베타-글루칸,판테놀,펜틸렌글라이콜,카프릴릴글라이콜,부틸렌글라이콜"
"스킨/토너",22,"닥터지","닥터지 레드 블레미쉬 클리어 수딩 토너","29,900","정제수| 다이프로필렌글라이콜| 프로판다이올| 펜틸렌글라이콜| 나이아신아마이드| 부틸렌글라이콜| 글리세린| 쇠비름추출물| 병풀추출물| 무화과추출물| 흰버드나무껍질추출물| 사탕수수추출물| 사과추출물| 케이프알로에잎추출물| 하이드로제네이티드레시틴| 판테놀| 라피노오스| 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머| 트로메타민| 다이소듐이디티에이| 베타인| 베타-글루칸| 마데카소사이드| 세라마이드엔피| 마데카식애씨드| 아시아티코사이드| 아시아틱애씨드| 에틸헥실글리세린| 1,2-헥산다이올| 카프릴릴글라이콜"
"스킨/토너",23,"헤브블루","헤브블루 살몬 케어링 센텔라 토너","26,800","병풀추출물| 부틸렌글라이콜| 프로판다이올,연어알추출물(29,400ppm)| 약모밀추출물| 글리세린| 1,2-헥산다이올| 소듐디엔에이| 마데카소사이드| 쇠비름추출물| 판테놀| 알란토인| 카카오추출물| 말토덱스트린| 아보카도열매추출물| 소듐하이알루로네이트| 에틸헥실글리세린| 다이소듐이디티에이| 덱스트린| 정제수"
"스킨/토너",24,"에스네이처","에스네이처 아쿠아 오아시스 토너","24,000","아쿠아 오아시스 토너 300ml : 정제수| 다이프로필렌글라이콜| 부틸렌글라이콜| 글리세린| 1,2-  헥산다이올| 베타인| 판테놀| 알란토인| 파파야열매추출물| 글루코노락톤| 자일리틸글루코사이드| 안하이드로자일리톨| 자일리톨| 소듐하이알루로네이트| 글루코오스| 파파인| 하이드록시프로필트라이모늄하이알루로네이트| 소듐아세틸레이티드하이알루로네이트| 하이드롤라이즈드하이알루로닉애씨드| 하이알루로닉애씨드| 하이드롤라이즈드소듐하이알루로네이트| 소듐하이알루로네이트크로스폴리머| 포타슘하이알루로네이트| 글리세릴아크릴레이트/아크릴릭애씨드코폴리머| 피브이엠/엠에이코폴리머아쿠아 스쿠알란 수분크림 30ml (증정품): 정제수| 스쿠알란(150,000ppm)| 글리세린| 1,2-헥산다이올| 베타인| 판테놀| 소듐하이알루로네이트| 하이드롤라이즈드콜라겐| 하이드록시프로필트라이모늄하이알루로네이트| 하이드롤라이즈드하이알루로닉애씨드| 소듐아세틸레이티드하이알루로네이트| 아세틸헥사펩타이드-8| 아데노신| 하이알루로닉애씨드| 하이드롤라이즈드소듐하이알루로네이트| 소듐하이알루로네이트크로스폴리머| 포타슘하이알루로네이트| 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머| 알지닌| 알란토인| 자일리틸글루코사이드| 안하이드로자일리톨| 자일리톨| 글루코오스| 부틸렌글라이콜| 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머| 카프릴릴글라이콜"
"스킨/토너",25,"더랩바이블랑두","더랩바이블랑두 저분자 히알루론산 딥 토너","23,000","정제수| 부틸렌글라이콜| 1,2-헥산다이올| 글리세린| 베타-글루칸| 베타인| 소듐하이알루로네이트(2,700 ppm)| 판테놀| 솔비톨| 아세틸글루코사민| 글루쿠로닉애씨드| 알란토인| 토코페롤| 에틸헥실글리세린| 다이소듐이디티에이"
"스킨/토너",26,"메이크프렘","메이크프렘 인테카 수딩 토너","20,800","정제수| 다이프로필렌글라이콜| 부틸렌글라이콜| 나이아신아마이드| 1,2-헥산다이올| 하이드록시아세토페논| 글리세레스-25피씨에이아이소스테아레이트| 글리세린| 글루코노락톤| 프로판다이올| 에틸헥실글리세린| 아데노신| 병풀추출물| 다이소듐이디티에이| 잔탄검| 하이드롤라이즈드치자추출물| 하이드롤라이즈드맥아추출물| 하이드롤라이즈드삼색제비꽃추출물| 유칼립투스잎오일| 발삼아미리스껍질오일| 멕시칸주니퍼오일| 스피어민트잎오일| 하이알루로닉애씨드| 하이드롤라이즈드하이알루로닉애씨드| 라벤더오일| 소듐하이알루로네이트| 프로테아제| 아시아티코사이드| 아시아틱애씨드| 마데카식애씨드| 하이드로제네이티드레시틴| 육두구커넬오일| 베르가모트오일| 버지니아풍년화잎추출물| 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물| 해바라기씨오일| 에톡시다이글라이콜"
"스킨/토너",27,"아비브","아비브 부활초 파하 토너 스킨부스터","16,100","정제수| 프로판다이올| 부틸렌글라이콜| 글루코노락톤| 글리세린| 나이아신아마이드| 2,3-부탄다이올| 트로메타민| 1,2-헥산다이올| 다이프로필렌글라이콜| 글리세레스-26| 폴리아크릴레이트크로스폴리머-6| C12-14알케스-12| 하이드록시아세토페논| 하이드롤라이즈드스클레로튬검| 스핑고모나스발효추출물| 에틸헥실글리세린| 트루로즈오브예리코추출물| 아데노신| 락토바실러스발효물| 세틸에틸헥사노에이트| 다이소듐이디티에이| 폴리쿼터늄-51| 스쿠알란| 하이드로제네이티드레시틴| 카프릴릭/카프릭트라이글리세라이드| 덱스트린| 카카오추출물| 토코페롤| 판테놀| 소듐하이알루로네이트| 바쿠치올| 엑토인| 트레할로오스| 병풀추출물| 병풀잎추출물| 병풀뿌리추출물| 드럼스틱씨오일| 세라마이드엔피| 피토스핑고신| 옥틸도데칸올| 폴리글리세릴-10라우레이트| 포스파티딜콜린| 아시아티코사이드| 아시아틱애씨드| 마데카식애씨드| 글라이코리피드| 솔비톨| 비피다발효여과물| 마데카소사이드| 카퍼트라이펩타이드-1| 아세틸헥사펩타이드-8"
"스킨/토너",28,"바이오힐보","바이오힐보 비타민 히알루로닉 앰플토너","16,000","정제수| 프로판다이올| 변성알코올| 글리세린| 나이아신아마이드*| 1,2-헥산다이올| 소듐하이알루로네이트**| 엔도미세스발효여과물| 하이드롤라이즈드하이알루로닉애씨드**| 트루로즈오브예리코추출물| 하이알루로닉애씨드| 비피다발효용해물| 옥틸도데세스-16| 트로메타민| 에틸헥실글리세린| 아데노신| 펜틸렌글라이콜| 아세틸글루코사민| 하이드록시아세토페논| 소듐하이알루로네이트크로스폴리머**| 벤질글라이콜| 하이드롤라이즈드글라이코사미노글리칸| 토코페롤*| 카프릴릴글라이콜| 글리세릴글루코사이드| 부틸렌글라이콜| 하이드록시프로필트라이모늄하이알루로네이트**| 하이드로제네이티드레시틴| 스테아릭애씨드| 소듐아세틸레이티드하이알루로네이트**| 옥탄다이올| 피토스테롤| 구아하이드록시프로필트라이모늄클로라이드| 세라마이드엔피| 세라마이드엔에스| 콜레스테롤| 피토스핑고신| 세라마이드에이피| 세라마이드에이에스| 아스코빅애씨드*| 아스코빌글루코사이드*| 바이오틴*| 사이아노코발아민*| 폴릭애씨드*| 리놀레익애씨드*| 판토테닉애씨드*| 피리독신*| 티아민에이치씨엘*| 세라마이드이오피| 카보머| 다이소듐이디티에이| 세테아릴알코올| 향료"
"스킨/토너",29,"코스알엑스","코스알엑스 풀핏 프로폴리스 시너지 토너","15,800","프로폴리스추출물| 꿀추출물| 부틸렌글라이콜| 1,2-헥산다이올| 글리세린| 베타인| 결명씨추출물| 판테놀| 폴리글리세릴-10라우레이트| 폴리글리세릴-10미리스테이트| 에틸헥실글리세린| 소듐하이알루로네이트| 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머| 카프릴릭/카프릭트라이글리세라이드"
"스킨/토너",30,"식물나라","식물나라 어린녹차 촉촉 진정토너","10,800","정제수| 부틸렌글라이콜| 글리세린| 1,2-헥산다이올| 녹차수| 베타인| 카보머| 트로메타민| 에틸헥실글리세린| 카카오씨추출물| 소듐파이테이트| 황련뿌리추출물| 보검선인장줄기추출물| 소나무잎추출물| 트루로즈오브예리코추출물| 토코페롤| 돌나물추출물"
